reviews,labels
"Es un hotel muy completo z llegué por la noche del aeropuerto y pues ahí encuentras restaurante z , otros cerca del hotel y servicio al cuarto, excelente su ubicación lo recomiendo tanto para paseo o para negocio",1
"Habitaciones en excelente estado, comodas y limpias. La ubicación tambien es muy buena, exactamente frente a parque fundidora. Muy recomendable para cualquier circunstancia (vacaciones, trabajo, etc.)",1
"Excelente ubicación, excelente atención, como viajero frecuente en todo el país (MÉXICO) puedo decir que es donde he recibido la mejor atención. súper recomendable, si tienes algún tema que no te parezca si lo haces saber, te darán una solución inmediata en medida de sus posibilidades",1
"El hotel tiene un aspecto bonito del exterior y la zona de recepción está muy presentable me gustó mucho, la calidez en la atención del personal que labora ahí es de notar, en específico de recepción que te atienden desde que llegas.",1
"Almohadas boludas, de tamaño como cojines, menos de la mitad de una normal, sin botellas de agua, no hay room service después de las 10pm para lo cual el clerk del front desk se portó sarcástico y burlesco sugiriéndome que si tenía hambre pudiera por ubereats, no hicieron el aseo de la habitación al regresar de todo el día fuera, tuvimos que llamar para que vinieran a limpiar y llegaron a las 8pm y entró la mucama sin si quiera tocar la puerta. No me vuelvo a quedar ahí aunque da el gatazo de estar lindo por fuera el servicio deja mucho que desear…/",0
Deberían revisar muy bien antes de dar las habitaciones a los huéspedes. La cama en la que estuve tenía cabellos del huésped anterior sobre las sábanas y sucedía lo mismo en el baño. La puerta del baño se atoraba y me hubiera esperado al menos un servicio de café en las habitaciones.,0
"Increíble servicio de Eduardo, atento y me ayudó con una recomendación de un bar cercano. Desde que llegue el servicio de recepción fue muy bueno, el check in fue temprano y me dieron salida a la 1 pm",1
"Soy un alumno del cbtis 258 y fui de paseo al hotel ANTARIS El Hotel por dentro se ve elegante y acogedor, la comida estuvo excelente nada mas una sugerencia, cuando quieran comer un sándwich tostado con queso y jamón, no coman mas de 1 porque se van a llenar y no podrán disfrutar de mas comidas que ofrecen en el hotel. Muchas gracias a Jorge y Brian por la experiencia.",1
La limpieza de las habitaciones no es muy buena. Olvidamos un par de zapatos y al dia siguiente que mandamos a un familiar a recuperarlos no se nos entregaron dando por excusa que tenian poco personal y que no habia ningun registro por parte de la ama de llaves.,0
"La mejor atención del personal que nos recibió al llegar, desde que nos bajamos en la puerta hasta la hora de nuestra salida. La señorita Luz nos asignó una habitación muy amplia y bonita volveremos a quedarnos aquí sin duda",1
La estancia estuvo bien únicamente que en la habitación no había secador de cabello y el internet del hotel fallaba mucho pero lo demás estuvo muy bien        Y volvería a reservar en este lugar por la buena ubicación,1
Muy buena experiencia sobre todo en el área de recepción la señorita Danyela me recibió de una manera muy amable y cordial nunca había visitado mty fuimos a un concierto y nos oriento a la perfección y en todo momento muy sonriente y excelente servicio de la chica   En el estacionamiento un poco de orden en ese tipo de eventos les vendría bien tuve que esperar a que se liberara un espacio en todo lo demás excelente regresamos en mayo al hotel 👍🏻,1
"Excelente atención de danyela en recepcion muy amable y me resolvio el tema de facturación al instante, desde el check in hasta el check out, me quedo con excelente experiencia desde la recepción hasta las habitaciones..  Volveria sin duda",1
HOLA MI NOMBRE  KEYLA KARINA SOY D CHIAPAS MI EXPERIENCIA FUE LA MEJOR EL HOTEL SUPER LINDO CUENTA CON MUCHOS SERVICIOS EXCELENTE UBICACIÓN CUANDO BAJE AL BUFFET FUE L MEJOR ATENCIÓN DEPARTE DEL CHEFF EN ESPECIAL DEL MESERO JORGE LUIS GONZÁLEZ GARCIA SUPER LINDO ATENTO ME SENTI COMO EN CASA GRACIAS POR BRINDAR UN EXCELENTE SERVICIO  ME KEDO CON LA MEJOR EXPERIENCIA Y CON GANAS DE VOLVER..❤️,1
"La calefacción del la habitación no servía tube que exijir cambio de habitación y lo hicieron la otra habitación tenía cucarachas, fue un check in de lo más desagradable hasta que el gerente de recepción me asignó otra habitación estas situaciones en tu llegada te hacen pasar un trago amargo cuando es tu primer día en Monterrey, los chico de recepción amables les hace falta reír o platicar con los huéspedes más calidez",0
Servicio de atención del personal del hotel muy atentos la limpieza excelente.  el servicio del restaurante excelente la comida en especial muy limpio y la atención de la persona que nos atendió los días que estuvimos hospedados en el hotel. La persona que nos atendió en el restaurante Carmen muy atenta y servicial . al igual que la chef Mari Excelente servicio.. en futuras visitas volvería a hospedarme en el mismo hotel..,1
"Excelente servicio y profesionalismo por parte de Recepción y botones.  La ubicación simplemente es perfecta para desplazarse hacia los sitios que requería. La habitación en perfecto estado, limpieza y calidad. La Experiencia fue increíble. Gracias por sus atenciones.",1
"Excelente servicio y atención, las instalaciones son muy buenas, me sentí atendido, la ubicación céntrica del hotel y las facilidades son excelentes, la comida y el servicio a la habitación no se diga.",1
"Excelente relación entre calidad y precio, habitaciones limpias y cómodas, muy buena ubicación para traslado en coche, y el personal muy amable, es nuestro hotel predilecto para cada visita a Mty 😊.",1
"Servicio de recepción muy malo, mi habitación inicial era de 2 camas, el hotel al sobrevenderse, me ofrece una habitación con cama King size (master) con sofa cama al no tener la habitación, acepto con la finalidad de hacernos más fácil a todos la noche, y al llegar a la habitación 1 hora más tarde, no estaba preparado el sofá cama, al revisar con recepción me dice el joven, que no es posible que me preparen el sofá cama, ya que no tienen personal, que me mandarían a seguridad con las cosas, pero que yo tendría que prepararlo, ""si es que así lo queria"". Cuando la señorita un turno antes me ofreció esa solución, la cual tomé por ayudar al hotel con dicha sobreventa.  Estoy en espera para hablar con el gerente.",0
"Hice una reservacion desde febrero, para un concierto al que mis hijos compraron entradas.  Desde la llegada cero servicio, nadie nos atendio para el tema del equipaje.  En la recepcion, amables pero cero informacion del hotel y sus servicios, nos entregan las llaves.   Desde que vamos ppr el pasillo a la habitacion asignada, la alfombra con basura a la entrada de las habitaciones, parece que las camaristas limpian una habitacion y sacan la basura al pasillo, asi fue hasta llegara a la habitacion.  La habitacion abierta, sucia y con todos los trapos y botes de la camarista, la alfonbra con basura, las camas mal tendidas y con edredones sucios.  Obio esto no fue del agrado de mi esposa, que lo unico que me pide es que el hotel este limpio.  Llame a recepcion para manifestrar el…",0
"Fuimos a tomar café ppr la tarde y nos atendió una señorita guapa, bella, simpática y atenta llamada Carmen la cual nos atendió super bien, es la primera vez que venimos y lo recomendamos mucho para poder regresar",1
"¡PESIMO SERVICIO! No vayan al restaurante BEKE de ANTARIS CINTERMEX, te atienden súper tarde a mi me mandaron a un rincón aun que había otras mesas solas y lo peor le he solicitado factura del consumo reiteradamente y no la envían, jamas contestan los teléfonos y cuando lo llegan hacer te dejan en supuesto de ""te transfiero"" hasta que te cuelgan y jamas te vuelven a contestar.",0
"Tuvimos la oportunidad de hospedarnos en este hotel Antaris y todo muy agradable, muy cómodo, y las atenciones ni se digan ... Además en el restaurante, la comida muy deliciosa, de gran calidad y el servicio por parte del capitán Esaú y la señorita mesera Carmen totalmente ideales!! Sin duda alguna cuando regresemos a MTY los vistaremos... ¡MUCHAS GRACIAS!",1
"Me hospede la semana pasada en el lugar y el tema del estacionamiento un poco complicado el acceso.  Excelente atención de Danyela en la recepción me resolvió un tema de facturación al instante, durante los 3 días que estuve el tema de la habitación pasó a ser un poco más ameno cada día aunque un poco molesto el tema de tener 2 camas si éramos solo 2 personas   Me quede muy impresionado con la vista del hotel y la amabilidad de los bell boys; si regresaríamos sin duda.",1
"Tuve gran experiencia, esta muy ubicado el hotel y en buenas condiciones en la recepción me recibió Fátima con gran actitud y siempre muy atenta a nuestras necesidades. En el restaurante el bufete es muy bueno y te atienden muy bien; en especial Carmen que fue muy linda y atenta con nosotros, estoy muy satisfecho",1
"El hotel cuenta con buena ubicación, sin embargo la comida no es buena, los platos en el restaurante están sucios y  los vasos tienen hasta cosas pegadas y todos chorreados y s supone que están limpios, el buffet de desayuno no lo están refrescando, está todo seco del calor, algunos meseros si están atentos otros solo te ven, en cuanto a las habitaciones son amplias, las camas están muy bien, los baños si necesitan una limpieza profunda las regaderas tienen hongos se ve claramente entre loseta y loseta, no cuenta con secadora de cabello ni Kleenex.",0
"Me encantó el trato, la señora Carmen Mendoza tiene un servicio excelente, nos trato muy bonito. Siempre estuvo al pendiente de todo, volveré a visitarlos, sin duda  Ajajakavahqvwuwvwjwkavabwkwvwiqjwbsksksk",1
"Hemos almorzado en Béke, elegimos buffet y el servicio es excelente, muy ricos los guisos, siempre están surtidos, mucha variedad de dulce y salado, y la chica de la entrada Carmen muy amable y servicial, 5 estrellas totalmente!!",1
"El lugar muy ameno, las instalaciones muy agradables y la atención por parte de la señorita Jacke López muy eficiente durante mi estancia, excelente la verdad, y me sentí muy cómodo, muy recomendable.",1
