"reviews","labels"
"LA VERDAD EXCELENTE LUGAR LO RECOMIENDO EXCELENTE CUARTOS AGUA CALIENTITA Y MUY LIMPIO LA VERDAD LA GENTE SUPER AMABLE Y EL LUGAR ESTA CENTRICO LA VERDAD LA PASE MUY BIEN SI LOS RECOMIENDO ESTOY 100% SEGURO",1
"Es un hotel ubicado en una zona no muy amigable en las noches. El personal amable en verdad. Las habitaciones limpias. El nivel de luz en baño es deficiente. El desayuno es huevo revuelto, 3 ó 4 tipos de fruta, yogurt, hot cake fríos y algún tipo de comida mexicana. Pan, café americano, leche, evenas y té. Las habitaciones son bastante amplias.",0
"Acudí a un concierto al Teatro Metropolitan, escapando de todo el stress laboral, la atención en la recepción fue mala, poco cortes, nadie te comenta adecuadamente los servicios, el hotel con instalaciones muy viejas. PÉSIMA ESTANCIA. Y Kivac que es Plan de Viaje me lo recomendó, mal por ellos también.",0
"Estuve alojado en el hotel mediante un paquete turístico comprado en Chile, y dormí tres noches, en días discontinuados. En honor a la verdad, las dos primeras noches fueron buenas. Sin embargo la última estancia fue desagradable por varios detalles: 1) La agencia de turismo me recogió a las 15:00, pero el check-out es hasta las 13:00. Nadie del hotel me lo advirtió. Esto produjo un retraso en la salida y tener camareras esperando afuera de la habitación mientras uno arregla las maletas. 2) Habitación muy ruidosa, con mucho ruido externo de un aire acondicionado o motor. Se comprometieron a apagarlo a las 23:00, pero hubo ruido toda la noche. No dormí bien. 3) Lo peor fue dejar 40 dólares de garantía por la llave de la caja de seguridad, pero al momento de la devolución lo hicieron con pesos mexicanos con un pésimo tipo de cambio. No quise reclamar porque estaba por partir al aeropuerto.…",0
"Hace unos días me quedé en este hotel, por 4 noches, la atención desde que llegamos fue muy buena, los empleados nos recibieron muy bien, sobre todo Juan el botones, se portó amable y servicial. La habitación era normal, la cama y almohadas estaban muy bien, siempre nos ponían botellas con agua, la limpieza excelente, le falta una refri o nevera para poder guardar alguna bebida o alimento...la ubicación es muy buena caminas un poco y estas en el centro histórico, en la noche la calle se torna un poco solitaria, es mejor moverte en Uber o taxi...Lo que debe mejorar y por mucho es el restaurante, sobre todo el desayuno que lo teníamos incluido, dicen que es bufet y no hay variedad, todos los días ponen lo mismo y todos los días ofrecen los mismos platos para complementar el bufet.",0
"Me apena ver que turistas de Francia y otros lugares de Europa llegan a este hotel.  Para empezar, el personal de recepción te recibe con una actitud cero profesional y se les nota que ni tienen capacitación y, además, que les pagan muy mal.  Qué actitud tan nefasta la de estos pobres empleados.  Dan ganas de darse la media vuelta e irse al hotel de enfrente...  Por otro lado, a este hotel no le han metido un peso en modernización ni en decoración desde el siglo pasado.  Todo luce viejo, anticuado y gastado, empezando con el lobby y terminando con las habitaciones.  El restaurante está localizado en la parte de arriba del lobby, obviamente es viejo y anticuado, pero lo peor es que la cocina carece de extractor y todos los olores de la comida inundan todos y cada uno de los…",0
"No tiene caja fuerte la habitación el aire acondicionado es como de 1985, (las amenidades agua lar) no son de acorde al precio ofrecido, la cama es cómoda y la ropa de cama es buena, limpieza es regular, nunca cayó agua caliente sale fría, es un hotel de paso bastante caro.",0
"La habitación está buena para el precio pero resta mucho la actitud poco amable de los empleados. El desayuno es sumamente limitado y el personal del comedor muy grosero y poco atento. La limpieza de la habitación y el servicio de comida a la habitación está muy bueno.",0
"Estuve hospedado 8 días en este hotel y la verdad no me pareció mala alternativa si vas a estar la mayor parte del día haciendo tours por la Ciudad de México o fuera de ella. Si bien el desayuno incluido en la tarifa no es muy variado que digamos, por lo menos puede combinarse fácilmente si tu estadía no será mayor de una semana.   Como nos recogían temprano para los tours pactados y llegábamos tarde al hotel, no sentíamos la falta de más canales en la tv por cable y la poca variedad en el menú en el restaurante, y ni pensar en salir de  noche, sobre todo en el ala izquierda, donde se puede notar que sus calles no son nada seguras.  En resumen, un hotel cumplidor si es que tienes pactado tours y visitas a tiempo completo en la Ciudad de México. Si piensas encontrar diversión…",1
"La semana pasada me aloje con mi hermana y su esposo, habitaciones excelentes, aunque el personal del hotel muy grosero.  El dia que salimos hicimos el checkout y dejamos las maletas en el locker de seguridad del hotel, cuando regresamos por las maletas, al revisarlas, se nos habian extraviado 270 dolares. Hicimos la respectiva queja y no nos quisieron atender, llamamos a la policia y el personal del hotel no quiso atender a la policia. Ante este hecho hemos hecho la demanda respectiva en Profeco y en el consulado respectivo.  Si van a ir a este hotel, no dejen cosas de valor ni en la habitacion, ni en su caja de seguridad, lo mas seguro es que no la encontraran cuando regrese.",0
