reviews,labels
"Estuve en el IStay Monterrey para el festival P´al Norte, la habitación durante esos días estaba en casi 5000 pesos la noche, por lo que se esperaría al menos un lugar digno para descansar. El lobby no tiene buen aspecto y el acceso es por un estacionamiento, la alfombra del piso del piso en el que estaba mi habitación por alguna razón se inundó y apestaba desde la  escalera hasta el cuarto a humedad terrible.  Los colchones de las camas están aguados y terribles y las sábanas se sienten viejas.  Las almohadas delgadas e  incómodas. Al baño le hace falta mantenimiento, pero estaba limpio.  El personal del lobby muy amable y ágil, excelente servicio ahí.  La ubicación es buena, pues está muy conectado y en el centro de la ciudad. sin embargo la calle lateral se percibe insegura.",0
"Las habitaciones están algo descuidadas, no como muestra en la foto donde se ven mejor. La lámpara del techo estaba sucia y con muchos insectos muertos. El sistema de salida de agua de la regadera-tina deja salir mucha agua por la llave inferior, entonces hay que abrirle más a la llave para que salga con presión la regadera pero se tira agua a los lados de la tina.  De los dos elevadores solo sirve uno y fue insuficiente para toda la gente que había, por lo que a veces debes tomar las escaleras, pero están muy sucias y descuidadas.  Por lo que vale la pena el hotel es por su ubicación en el centro. Puedes ir caminando hasta macroplaza y el embarcadero de Paseo santa Lucía.",0
"le falta mucho mantenimiento ya es un hotel viejo y sin renovarse, la reepcion deja mucho que desear los que usan el salon de eventos se acaparan toda la recepcion que se supone es para los huespedes y vuelvo a lo mismo mantenimiento les falta.",0
"Hice la reservación pero no me quedé ya que en el area de recepción y entrada había muchísima gente que no tenía buen aspecto y no me sentí segura de quedarme, ademas de que no se veía seguridad  en el hotel por lo que cancele mi reservación…………..",0
"Un hotel muy limpio, seguro y tranquilo además el personal muy atento en todo momento,el restaurante y las habitaciones son una opción buena para descanso y comer algo sin necesidad de salir del hotel",1
"Tal cual, saca del apuro, xq esta en el centro cerca de avenidas grandes, el metro, bancos. Pero ya es un hotel viejo, le hace falta mantenimiento al mobiliario de la habitación, cambiar las alfombras de los pasillos o lavarlas! Más limpieza en las habitaciones, yo le daba 2.8 estrellas",0
"Muy atentos desde el seck in, atención a la habitación, instalaciones en la habitación y la ubicación, Serca de centros de comercio y lugares turísticos, restaurantes, tiendas de ropa, la plaza de la tecnología, la macro plaza",1
"El aire es el mismo para todo el hotel, no lo puedes controlar en tu habitación y lo ponen muy caliente. Cuando lo reportas te mienten diciendo que lo revisarán pero no hacen nada! El tiquete de salida del parqueo nunca funciona por lo que cada vez que sales del hotel, debes ir desde el sótano hasta la recepción para que te den otro! Por lo demás todo bien!",0
"todo excelente limpieza y tranquilidad, buen punto de ubicación en el mero centro de monterrey, estacionamiento, gratis rico el bufet, sobre el paseo morelos que te lleva a la macroplaza palacio de gobierno y precidencia de monterrey,en pocas palabras monterrey es un rancho grande",1
"Servicio bueno aunque la recepción podría mejorar un poco más, esta muy céntrico todo, pero al ingresar faltan indicaciones como donde entrar, que servicios cuentas, solo te dan información de check in y check out",0
"Cuarto 1735.  Ya antes me había hospedado 7 veces en este hotel. Pero ahora estaba muy descuidado abandonado. No funcionaba wifi, lavamanos goteaba y tapado. No había ni una sola toalla. La alfombra apestaba feo el elevador se apagó el display del 17 al 5to piso y aumentó su velocidad después del 5 to abrió en todos los pisos",0
"desde el principio se ve un hotel viejo que se quedó a medias con la remodelada, la alberca estaba lamosa, la limpiaron ya que estabamos preguntando mucho por ella, insalubre estaba, las camas, fueron un tormento, los colchocnes parecian de arena, tenian sobre población de huespedes y no se dieron abasto ni con los elevadores que se descompusieron varias veces, ni con el sumnistro de toallas ni sabanas para las camas. Los aires no funcionaban bien tampoco, así como el internet jamás me pude conectar con mi laptop para trabajar tenia que estarme moviendo y a veces ni así, con mi celular jamás pude.  El personal si fue muy amable, pero se nota que la administración no le invierte a nada, las toallas estaban viejas y rotas y no blancas, muy asquerosas.  El restaurante tenia buffet,…",0
"Se reservó la habitación “deluxe”, por una tarifa similar a un hotel de 5 estrellas, la habitación deja mucho que desear, huele a humedad, las ventanas no estaban limpias, estaban manchadas de grasa (posiblemente de huéspedes anteriores), la cabecera de la cama está caída, el baño se ve viejo, con sarro en sus llaves, incluso hay una dos goteras en el techo, se desconoce de donde proviene el agua, o si es agua residual, la cama es algo dura, lo unico bueno es la proximidad al centro de Monterrey, si pueden evítenlo, por este precio encuentran mejores.",0
"Verdaderamente  ASQUEROSO Y PESIMO  Pésimo Hotel, la habitación huele horrible como a pies, los muebles son viejos y apestan a humedad, el internet se corta cada 25 min, la ventilación huele a polvo. Para subir en el elevador a la habitación hay que esperar hasta 15 minutos debido a que hay camiones con gente migrante que está de paso se hospedan en este hotel (Quiero una explicación a esto. no solo disculpas) En todo momento hay muchas personas esperando los 2 elevadores y eso genera los tiempos de espera aparte que nadie respeta la sana distancia pues el elevador es para cuatro y se suben hasta 7 personas …  Nada que ver con un hotel calidad business. Lo peor es que la tarifa es similar a otros que están cerca y de mucho mejor calidad.   La calle esta sucia, hay muchos…",0
"Tenía tiempo de no hospedarme en este hotel, por la pandemia y anteriormente me era muy conveniente cuando viajamos a MTY, pero ahora está muy descuidado y sucio.  La recepción estaba abarrotada de gente esperando habitación, siendo que ya eran las 3 y las personas que tenían compromiso para salir, se arreglaban en el baño de recepción como podían.  Hicimos el check-in y nos dijeron que nos iban a poner en una lista de espera para asignarnos una habitación. Teníamos reservadas 2 y hasta casi 5 y media nos asignaron 1. Media hora la segunda.   Los pasillos se ven sucios, una alfombra vieja y sucia.  Las habitaciones sucias, el baño mal lavado, con manchas negras donde tiene mucho que no se limpia bien.  Sin toallas. La caja fuerte no servía. Ya no hay secadora de pelo en el baño…",0
"Lo bueno: -La ubicación  -El aire acondicionado si sirve   Lo malo: -Las habitaciones están sumamente sucias. -En la noche que llegamos a descansar al hotel al prender la luz había cucarachas por todos lados . -El baño lo entregan extremadamente sucio y sin amenidades -Las toallas no dan nada de confianza  -Barato no es en comparación de otros  NO LO RECOMIENDO, ni si quiera por su buena ubicación.",0
"Las habitaciones no estaban listas después de las 4 p.m. del check in esperando largas horas hasta después de las 7.pm por lo que es un poco desesperado esperar después de un largo viaje, sin agua, alimento, no dan opción de guardar las maletas para salir a  comer, tampoco una opción para al menos tomar un baño..",0
"Son los mejores en todo!!  Restaurante, servicios, habitaciones, personal, seguridad y ubicación.  Les caracteriza en todo momento, la amabilidad, gentileza y perfecta Atención.  Se merecen un Diez en todo aspecto!!",1
