"reviews","labels"
"Muy buena la atencion en general desde el check in hasta el check out - los colaboradores de los restaurantes muy amables, Juventino, Dalis de Portofino, la joven melissa de Coco cafe, Roberto de recepcion, La Sra. Melisa de el Snack Bar, en general muy buena experiencia.",1
"En esta ocasión fui con mi familia, a este excelente hotel creo que es el mejor de Panamá, ya que desde la llegada con los botones y los bares y discutir la gastronomía que ofrecen, quiero resaltar las personas que hicieron mi estadía fenomenal, Marcos Saturno en bares y encargado del restaurante, fue muy cordial este momento fue waooo y los bartender de la piscina sancheliano y Erick fueron fantástico y la salonera lauriana My atenta mi familia deseamos regresar este año para celebrar el cumpleaños de mi esposa, gracias cómo hotel y su personal ,   fantástico y estupendo.",1
"No había variedad en la comida y la poca que había no tenía sabor; la única comida rescatable es la del restaurante de mariscos.  El aire acondicionado de la habitación hacía un ruido muy fuerte que no dejaba dormir, tenía que apagarlo y eso que coloqué el ventilador del mismo en la velocidad más baja, pero ni así dejaba de hacer ese tremendo ruido.",0
"La atención es excelente, rebasa las expectativas desde la gerente hasta los chicos en el restaurante, puedo mencionar a Stephanie quien nos dio una atención de lujo en el restaurante de la piscina y en el bar de la entrada principal a Eric. Salí feliz!!!",1
"todo me encanto la atencion muy buena la comisa riquisima la piscina laas playas ni hablar quiero decir que la joven  jakeline me atendio muy bien es muy amable atenta siempre con una sonrisa muy guapa vuelvo de nuevo con la familia pero mas grande como de 100 personas",1
"Excelente atención, buenos y variados menús, la bebidas muy ricas, especialmente la atención del bartender de la piscina Zancheliano, mis respetos, regresaremos sin dudar. Hotel accesible y cercano a la ciudad. Muy complacidas.",1
"Un hotel entretenido y que en general cumple con lo esperado. El lugar es muy lindo. Está algo alejado de la ciudad, por lo que a veces cuesta un poco encontrar transporte.  Las habitaciones son linfas y cuentan con todo lo necesario para una buena estadía. La comida es buena. Los restaurants, si bien tienen cartas sencillas, ofrecen buena comida, por lo que cumple con las expectativas. El snack bar es algo básico, de gusto muy norteamericano. Las actividades del resort son de tipo familiar, entretenidas. Destaco la caminata en la jungla, a lo lejos la mejor actividad. El personal, por lejos, es lo mejor del lugar. Se nota que están sobrepasados de trabajo, y aún así entregan un servicio amable y eficiente en su mayoría. Mis felicitaciones para todos los que trabajan ahí. Son…",1
"Una excelente atención en el bar de Marcos y Sanchez, los felicito por tenerlos y ojalá los mantengan por mucho tiempo más. Las recámaras bien limpias por parte del personal de aseo y también de los que atienden en los restaurantes sólo que antes había más variedad de comida pero han desmejorado en eso. Por lo demás todo bien",1
"Fue una exelente experiencia un ambiente muy relajante y a la ves divertido las habitaciones muy cómodas el personal nos atendió muy bien la vista al mar de noche es increíble la comida excelente muy bonito todo",1
"Están muy mal en variedad de comida y licores, así como de personal en bares y restaurantes, el servicio de atención a huéspedes al momento de la llegada, especialmente en las noches es bastante regular,",0
"La sección de Reservas debe ser más atento en dar pronta respuesta y soluciones a cuestionamientos que surjan en el trámite. El área de estacionamiento deben delimitar los espacios y mejor iluminación.",1
"Un hotel de 5 estrellas no puede tener solo 3 restaurantes y a veces solo funcionan 2. El Buffet de almuerzo de muy mala calidad y variedad, el desayuno todos los días lo mismo. Cuartos, room service y servicio del personal Ok. La piscina (01 sola)  la utilizan de campo de juego y es un problema descansar, actividades nocturnas ¡¡¡ pobrísimo !!! Una decepción por lo que evalúo de REGULAR para abajo. NO LO RECOMIENDO.",0
"Que buen hotel cerca de la ciudad es una buena opción de playa cerca de la ciudad. Las habitaciones son cómodas y tienen muy buena vista. Pueden mejorar la calidad de las bebidas y las opciones del buffer y los restaurantes de especialidad",1
