"reviews","labels"
"El hotel es muy bonito, pero sus habitaciones no tienen aire acondicionado, tampoco sus ventanas tienen telas metálicas y te comen los zancudos. A parte de eso todo esta bien, y sin esos pequeños inconvenientes el hotel seria magnifico.",0
"Buen servicio y excelente ubicación, con restaurantes y gimnasios cercanos. Buena atención y disposición. A 6 cuadrad del centro, cerca de terminal caribeños. El zoológico es precioso y está a unas cuadras.",1
"Nos atendieron muy bien, la verdad que sus trabajadores muy atentos y dispuestos para ofrecernos información sobre la zona. La habitación es humilde pero confortable, nos teníamos que ir pronto para seguir con nuestro viaje y Mauricio el recepcionista muy amable nos ofreció café y compartimos una profunda conversación muy enriquecedora. Lo único que puede mejorar es la ducha que no era del todo muy agradable pero de resto lo recomiendo.",0
"Me gustó el servicio y la ubicación. Tienen desayuno variados, estuve 12 días y todos los días hay servicio al cuarto. Queda cerca de un gimnasio a 2 cuadras y cerca de snacks 24 horas a 1 cuadra donde se puede comer desayuno, almuerzo y cena.",1
"El hotel se encuentra a 10 minutos del centro andando. Es un hotel sencillo, pequeño pero con habitaciones amplias, cómodas y limpias, tienen tv por cable y nevera. El personal es agradable y muy amables.",0
"El trato en INCA Real fue exclente mientras estuve ahí, el cuarto, los empleados, muy amables y amigables, la verdad es que lo recomiendo, hay Excelentes restaurantes cerca, así como la cercania a plazas, museos y las zonas mas importantes de San Jose a minutos caminando. Todos estuvo de maravilla.",1
"Una atención excelente!! Desde el aeropuerto hasta el hotel y viceversa, hospitalario, accesibles, cuartos limpios, amplios!! Y muy buen precio!!! Muy recomendable 😊!! Excelentes personas!! Pura vida maes, te hacen sentir como en casa!!",1
"El peor hotel en el que he estado en mi vida, si se le puede llamar así, casi que no pegue ojo en toda la noche. Sábanas sucias llenas de pelo y con olor a húmedo, dormí con la ropa puesta encima de la cama. La limpieza de baño brillaba por su ausencia, bichitos por la ducha, grifo roto, sisterna del wc medio rota, espejos con chorretones de lo limpiarse... aunque el personal no era desagradable ni aunque me pagarán volvería a este hotel. El desayuno buffet universal es igual a: pan bimbo, mermeladas de fresa y melocotón, cereales de colorines con leche y un sobre de té negro. Un sobre que se lo lleva el primero que llegue... no había más.",0
"Aparentemente por fuera parece que te vas a encontrar algo pintoresco dentro ....un edificio con 3 plantas con un patio central al que dan toda las habitaciones ... sin aislamiento adecuado entre las mismas , con amplio ventanal al patio que hace que inevitablemente no tengas intimidad sonora ni visual para ti  ni para resto de huéspedes , edificio enrejado que  da mala espina, será por la ubicación en un barrio probablemente conflictivo ... que el recepcionista sea lento en respuestas y reflejos también  inquieta , aunque amable .. que la habitación asignada sea lúgubre , sucia y huela bastante a moho ... bichitos y hasta una cuqui ( cucaracha) en el baño , sabanas sucias con punteados amarillos , manchas y pelos varios  , armario sacado de un rastro sin restaurar  y resto de…",0
"Me hospede en el hotel y tuve una experiencia desagradable. La habitación que nos asignaron fue en el sótano frente al área de comedor y cocina (no hay elevador y tampoco personal que ayude con el equipaje). El ruido de las sras de cocina inicia desde las 5:00 a.m. y desde esa hora ya no se puede descansar   La habitación tiene alfombra y el olor a viejo y húmedo es incómodo y a eso se le suma que la limpieza de la habitación deja mucho que desear.   Entre otras cosas la señal de internet y cable es malísima y los recepcionistas son muy desatentos.",0
"Afortunadamente solo estuvimos una noche, antes de parir de Costa Rica, el hotel ya venia incluido en un paquete de viaje organizado. El hotel es un horror, literalmente.  Apenas llegar teníamos contratadas dos habitaciones una twin y una matrimonial y el recepcionista insistía en colocarnos a todos en una sola habitación, como 10 minutos discutiendo sobre el tema, hasta que accedió de mala gana.  No dejen que la poca luz los engañe (llegamos por la tarde noche), a simple vista parece un lugar interesante, un edificio antiguo con un estilo tipo cubano, pero a los pocos minutos pudimos ver que este era el escenario perfecto para una película de terror. No hay ascensor y el recepcionista ni ofreció su ayuda, así que subimos tres pisos con todo el equipaje, no me imagino como lo…",0
"El lugar está muy bien ubicado y es un hotel muy bonito con habitaciones remodeladas y las mismas son muy amplias. Yo creo que permite vivir una excelente experiencia y su personal siempre está atento a lo que uno requiere. Lo recomiendo inclusive para familias.",1
